pos,adp,m_old,m_deep,delta
WR,46.56048032022064,13.894337842606388,13.894337842606387,-1.7763568394002505e-15
WR,47.04553420013379,13.894337842606388,13.894337842606387,-1.7763568394002505e-15
WR,47.53564123381169,13.894337842606388,13.894337842606387,-1.7763568394002505e-15
WR,48.03085406357724,13.894337842606388,13.894337842606387,-1.7763568394002505e-15
WR,48.531225880166126,13.894337842606388,13.894337842606387,-1.7763568394002505e-15
WR,49.036810428440056,13.894337842606388,13.894337842606387,-1.7763568394002505e-15
WR,49.54766201315943,13.894337842606388,13.894337842606387,-1.7763568394002505e-15
WR,50.063835504816275,13.894337842606388,13.894337842606387,-1.7763568394002505e-15
WR,50.5853863455278,13.894337842606388,13.894337842606387,-1.7763568394002505e-15
WR,51.11237055499155,13.894337842606388,13.894337842606387,-1.7763568394002505e-15
WR,51.6448447365023,13.894337842606388,13.894337842606387,-1.7763568394002505e-15
WR,52.18286608303195,13.173062271062271,13.173062271062273,1.7763568394002505e-15
WR,52.726492383372545,13.173062271062271,13.173062271062273,1.7763568394002505e-15
WR,53.275782028343386,13.173062271062271,13.173062271062273,1.7763568394002505e-15
WR,53.83079401706276,12.774896219118297,12.908969965031094,0.1340737459127972
WR,54.39158796328505,12.691904761904762,12.853924073475543,0.16201931157078064
WR,54.95822410180383,12.633169455564298,12.853924073475543,0.22075461791124518
WR,55.5307632949216,12.543744208908237,12.853924073475543,0.3101798645673064
WR,56.10926703898722,12.543744208908237,12.853924073475543,0.3101798645673064
WR,56.693797471000885,12.543744208908237,12.853924073475543,0.3101798645673064
WR,57.284417375288626,12.543744208908237,12.853924073475543,0.3101798645673064
WR,57.8811901902456,12.543744208908237,12.853924073475543,0.3101798645673064
WR,58.484180015150336,12.543744208908237,12.853924073475543,0.3101798645673064
WR,59.093451617049304,12.543744208908237,12.853924073475543,0.3101798645673064
WR,59.709070437713834,12.543744208908237,12.853924073475543,0.3101798645673064
WR,60.33110260066907,12.543744208908237,12.853924073475543,0.3101798645673064
WR,60.95961491829614,12.543744208908237,12.853924073475543,0.3101798645673064
WR,61.59467489900881,12.543744208908237,12.853924073475543,0.3101798645673064
WR,62.23635075450415,12.543744208908237,12.853924073475543,0.3101798645673064
WR,62.884711407089576,12.543744208908237,12.853924073475543,0.3101798645673064
WR,63.53982649708531,12.543744208908237,12.853924073475543,0.3101798645673064
WR,64.20176639030491,12.543744208908237,12.853924073475543,0.3101798645673064
WR,64.87060218561284,12.543744208908237,12.853924073475543,0.3101798645673064
WR,65.54640572256152,12.543744208908237,12.853924073475543,0.3101798645673064
WR,66.2292495891073,12.543744208908237,12.853924073475543,0.3101798645673064
WR,66.91920712940747,12.543744208908237,12.853924073475543,0.3101798645673064
WR,67.61635245169772,12.213892660857354,12.853924073475543,0.640031412618189
WR,68.32076043625257,11.833267719934383,12.853924073475543,1.0206563535411597
WR,69.03250674342775,11.833267719934383,12.739458663273002,0.9061909433386184
