name,team,adp,position,vorp,rk,adp_rk,edge,vorp_new,vorp_rost,vorp_meta,sched,avail,floor_p25,bust_sched,yrs,usable,floor_gap,adj_0.0,adj_0.25,adj_0.5,adj_1.0,final,value_final,view
Jaylen Waddle,DEN,48.8,WR,3.0369366364706813,49,48,-1,3.236710740315015,6.059799224816611,6.955772575379874,54.0,0.833,4.875,0.4074074074074074,5.0,True,0.2125000000000003,6.955772575379874,7.008897575379875,7.062022575379874,7.168272575379874,6.977022575379874,13.335772575379874,0.0
Joe Burrow,,57.8,QB,2.990988882774534,50,58,8,2.8322137811029613,7.2103214034059135,7.416798543728474,54.0,0.648,0.0,0.4259259259259259,6.0,True,-9.82,7.416798543728474,4.961798543728474,2.5067985437284737,-2.4032014562715265,6.434798543728474,19.516798543728473,
Lamar Jackson,,52.8,QB,2.990988882774534,51,54,3,2.8322137811029613,7.2103214034059135,7.416798543728474,54.0,0.852,10.125,0.2407407407407407,8.0,True,0.3049999999999997,7.416798543728474,7.493048543728474,7.569298543728474,7.7217985437284735,7.447298543728474,19.516798543728473,
Drake Maye,,49.6,QB,2.990988882774534,52,49,-3,2.8322137811029613,7.2103214034059135,7.416798543728474,36.0,0.833,11.11,0.2222222222222222,2.0,True,1.2899999999999991,7.416798543728474,7.739298543728474,8.061798543728473,8.706798543728473,7.545798543728473,19.516798543728473,
Dak Prescott,,67.3,QB,2.990988882774534,53,69,16,2.8322137811029613,7.2103214034059135,7.416798543728474,54.0,0.778,3.495,0.3518518518518518,10.0,True,-6.325,7.416798543728474,5.835548543728474,4.254298543728474,1.0917985437284736,6.7842985437284735,19.516798543728473,
Luther Burden III,CHI,53.4,WR,2.9072264309308213,54,55,1,3.107000534775155,5.930089019276751,6.826062369840014,18.0,,,,1.0,False,0.0,6.826062369840014,6.826062369840014,6.826062369840014,6.826062369840014,6.826062369840014,13.206062369840014,0.6939376301599864
Tyler Warren,,65.8,TE,2.820426503352241,55,67,12,2.3948686010266584,3.741666273329659,3.759775407394895,18.0,,,,1.0,False,0.0,3.759775407394895,3.759775407394895,3.759775407394895,3.759775407394895,3.759775407394895,11.629775407394895,
Colston Loveland,,60.8,TE,2.820426503352241,56,61,5,2.3948686010266584,3.741666273329659,3.759775407394895,18.0,,,,1.0,False,0.0,3.759775407394895,3.759775407394895,3.759775407394895,3.759775407394895,3.759775407394895,11.629775407394895,
DK Metcalf,PIT,65.1,WR,2.555088134566356,57,66,9,2.7548622384106896,5.577950722912285,6.721962036737774,54.0,0.852,6.2,0.3518518518518518,7.0,True,1.5375000000000003,6.473924073475547,6.858299073475547,7.242674073475547,8.011424073475547,6.875712036737774,13.101962036737774,0.24803796326222916
Christian Watson,GB,68.7,WR,2.5550881345663523,58,70,12,2.754862238410686,5.577950722912282,6.473924073475545,54.0,0.611,0.0,0.6481481481481481,4.0,True,-4.6625,6.473924073475545,5.3082990734755455,4.142674073475545,1.8114240734755451,6.007674073475545,12.853924073475545,0.0
