gsis_id,name,pos,adp,adp_rank,age,expr,n_prior,G_last,avail_wtd,mu_hat,mu_cal,proj_ridge_P0,proj_ridge_P1,alpha
00-0033908,Cooper Kupp,WR,150.5,62.0,33.21286789869952,9,9,16.0,0.8274936687003568,11.662562193827304,11.759543404967802,10.598826533471241,10.47435299886228,177.82794100389228
00-0036550,Rashod Bateman,WR,150.8,63.0,26.757015742642025,5,5,13.0,0.7969639468690701,6.5271918941273785,8.335003120638657,8.40892495374091,8.250376349750702,177.82794100389228
00-0040134,Pat Bryant,WR,151.1,64.0,23.72621492128679,1,1,13.0,0.7647058823529411,5.753846153846154,7.819294712724598,8.86111662605706,8.494390160484471,177.82794100389228
00-0037291,Jalen Nailor,WR,155.1,65.0,27.50171115674196,4,4,17.0,0.8235294117647058,5.562271241830065,7.691542288774908,7.273051260322095,7.240857679987147,177.82794100389228
00-0036261,Brandon Aiyuk,WR,156.8,66.0,28.459958932238195,6,5,7.0,0.6731499051233396,11.49157630794253,11.645520847665882,11.642918886407587,11.296726532798116,177.82794100389228
00-0038977,Tank Dell,WR,157.3,67.0,26.84188911704312,3,2,14.0,0.7450980392156863,12.166666666666666,12.095707298514052,11.709036191585426,11.785528668142389,177.82794100389228
00-0039410,Ryan Flournoy,WR,159.0,68.0,26.847364818617386,2,2,15.0,0.7647058823529411,5.7407407407407405,7.810555320528307,8.481215029192597,8.169548768022484,177.82794100389228
00-0039890,Adonai Mitchell,WR,162.4,69.0,23.89869952087611,2,2,16.0,0.9607843137254902,4.716617647058823,7.127615126199876,7.928670322376561,7.612807996875216,177.82794100389228
00-0040138,Jaylin Noel,WR,163.3,70.0,23.991786447638603,1,1,17.0,1.0,4.023529411764706,6.6654267261738855,7.052357499944268,6.960876442678076,177.82794100389228
00-0039424,Devaughn Vele,WR,163.8,71.0,28.720054757015742,2,2,9.0,0.6078431372549019,7.641880341880341,9.078337149351135,8.06226926373779,7.988197689698029,177.82794100389228
00-0038393,Dontayvion Wicks,WR,167.3,72.0,25.21013004791239,3,3,13.0,0.8487394957983193,6.329582417582417,8.203226525476094,9.097815527567949,8.832977187239578,177.82794100389228
00-0040718,Travis Hunter,WR,167.6,73.0,23.290896646132786,1,1,7.0,0.4117647058823529,9.114285714285716,10.060216004895299,10.578773675971217,10.256447972820819,177.82794100389228
00-0040669,Isaac TeSlaa,WR,167.7,74.0,24.528405201916495,1,1,14.0,0.8235294117647058,5.421428571428572,7.597620843894763,7.354947578559916,7.276280333832515,177.82794100389228
00-0038618,Xavier Hutchinson,WR,167.8,75.0,26.250513347022586,3,3,16.0,0.8739495798319327,4.244387755102041,6.812706912362815,7.139590684978918,6.944260004880142,177.82794100389228
00-0038608,Kayshon Boutte,WR,168.3,76.0,24.320328542094455,3,3,14.0,0.7478991596638656,7.572925170068027,9.032354143276985,9.348289196590608,9.210703372540177,177.82794100389228
00-0040727,Tre' Harris,WR,171.9,77.0,24.50650239561944,1,1,16.0,0.9411764705882353,4.3375,6.874799150119459,7.581085628830321,7.391002245962268,177.82794100389228
00-0039868,Troy Franklin,WR,175.0,78.0,23.567419575633128,2,2,17.0,0.9803921568627452,8.343014705882354,9.545891139448536,10.960178564862908,10.717958149312455,177.82794100389228
00-0039342,Xavier Legette,WR,177.4,79.0,25.587953456536617,2,2,15.0,0.8823529411764706,6.748888888888889,8.482842564567338,9.708337953337734,9.44472592779214,177.82794100389228
00-0035535,Darius Slayton,WR,183.2,80.0,29.634496919917865,7,7,14.0,0.8730314960629921,7.430438771511027,8.937336572322863,9.180697291450944,8.791971314134136,177.82794100389228
