rank_model,name,team,adp,adp_rank,tier,n_seasons,n_games,mu_hat,n_eff,m_deep,tau2,B,theta_star,post_SD,arm,board_value,delta_rank_vs_adp,thin_data_flag,team_2025,g_2025,ppg_2025,targets,tgt_share_2025,ay_share_2025,snap_share_2025,rz_tgt_share_2025,i10_tgt_share_2025,rec_tds,team_vacated_share_2026
48,Quentin Johnston,LAC,95.2,46,vet,3,45,11.642809739280327,2.3333333333333335,10.82380934425052,10.782394134943546,0.6316382999991158,11.125497722065095,2.6097074742806288,m_deep (market),10.82380934425052,-2,,LAC,13.0,13.169230769230769,84.0,0.1544117647058823,0.217553893532776,0.767515923566879,0.19480519480519481,0.23333333333333334,8.0,0.3033088235294117
49,Khalil Shakir,BUF,101.1,48,vet,4,47,10.499047619047618,2.6470588235294117,10.82380934425052,10.782394134943546,0.6018310388772187,10.69449930551404,2.5473867911679027,m_deep (market),10.82380934425052,-1,,BUF,16.0,10.4,95.0,0.1983298538622129,0.0965688987271721,0.6007568590350048,0.18840579710144928,0.1111111111111111,4.0,0.1189979123173277
50,Deebo Samuel Sr.,SF,97.7,47,vet,7,91,12.921640218049667,2.953488372093023,10.82380934425052,10.782394134943546,0.5753131613547278,11.714730506056728,2.490633103599775,m_deep (market),10.82380934425052,-3,,WAS,16.0,11.7625,99.0,0.2291666666666666,0.131815907953977,0.7223910840932117,0.2553191489361702,0.30434782608695654,5.0,0.3090909090909091
51,Makai Lemon,PHI,106.4,51,rookie,0,0,,0.0,10.169649826735766,11.422710913543565,1.0,10.169649826735766,3.3797501259033287,m_deep (market),10.169649826735766,0,no NFL rows: full shrinkage to market,,,,,,,,,,,0.3771551724137931
52,Romeo Doubs,NE,111.1,52,vet,4,57,10.225299145299145,2.6470588235294117,10.169649826735766,10.782394134943546,0.6018310388772187,10.191807658095337,2.5473867911679027,m_deep (market),10.169649826735766,0,,GB,16.0,10.3375,85.0,0.1847826086956521,0.253327107167873,0.78,0.2537313432835821,0.32,6.0,0.2759336099585062
53,John Metchie III,CAR,116.3,53,vet,3,28,6.393968253968254,2.3333333333333335,10.169649826735766,10.782394134943546,0.6316382999991158,8.778833343929112,2.6097074742806288,m_deep (market),10.169649826735766,0,,NYJ,13.0,5.5307692307692315,48.0,0.1016949152542373,0.0787309048178613,0.4649947753396029,0.10638297872340426,0.1,2.0,0.1583333333333333
54,Ricky Pearsall,SF,118.3,54,vet,2,18,10.025925925925925,1.8,10.169649826735766,10.782394134943546,0.6897097655400394,10.12505370385598,2.7270354839591304,m_deep (market),10.169649826735766,0,,SF,9.0,9.844444444444443,53.0,0.0963636363636363,0.1741154562383612,0.7817589576547231,0.046511627906976744,0.04878048780487805,0.0,0.3090909090909091
55,Rashid Shaheed,SEA,119.0,55,vet,4,43,11.045492063492064,2.6470588235294117,10.169649826735766,10.782394134943546,0.6018310388772187,10.518383020252475,2.5473867911679027,m_deep (market),10.169649826735766,0,,NO,18.0,8.7,92.0,0.1628318584070796,0.2199707541257572,0.6067125645438899,0.17307692307692307,0.15384615384615385,2.0,0.0879120879120879
56,Matthew Golden,GB,119.9,56,soph,1,12,5.8,1.0,10.169649826735766,9.389576648040723,0.8088492921551105,9.334388169320926,2.7558578383878753,m_deep (market),10.169649826735766,0,single season: n_eff = 1,GB,14.0,5.0,44.0,0.0956521739130434,0.1288816250291851,0.5292740046838408,0.029850746268656716,0.0,0.0,0.4021739130434782
57,Jalen Coker,CAR,126.1,57,vet,2,19,9.254074074074074,1.8,10.169649826735766,10.782394134943546,0.6897097655400394,9.885555611776514,2.7270354839591304,m_deep (market),10.169649826735766,0,,CAR,11.0,8.218181818181819,43.0,0.0895833333333333,0.1260869565217391,0.6774691358024691,0.04285714285714286,0.07407407407407407,3.0,0.1583333333333333
