fold,age,f_hat,lo_clamp,hi_clamp
2018,23.7,1.4516,21.0705,35.3073
2018,23.8,1.5562,21.0705,35.3073
2018,23.9,1.657,21.0705,35.3073
2018,24.0,1.7538,21.0705,35.3073
2018,24.1,1.8466,21.0705,35.3073
2018,24.2,1.9351,21.0705,35.3073
2018,24.3,2.0193,21.0705,35.3073
2018,24.4,2.099,21.0705,35.3073
2018,24.5,2.1742,21.0705,35.3073
2018,24.6,2.2447,21.0705,35.3073
2018,24.7,2.3107,21.0705,35.3073
2018,24.8,2.3723,21.0705,35.3073
2018,24.9,2.4297,21.0705,35.3073
2018,25.0,2.4828,21.0705,35.3073
2018,25.1,2.5319,21.0705,35.3073
2018,25.2,2.577,21.0705,35.3073
2018,25.3,2.6184,21.0705,35.3073
2018,25.4,2.656,21.0705,35.3073
2018,25.5,2.69,21.0705,35.3073
2018,25.6,2.7206,21.0705,35.3073
2018,25.7,2.7477,21.0705,35.3073
2018,25.8,2.7717,21.0705,35.3073
2018,25.9,2.7925,21.0705,35.3073
2018,26.0,2.8102,21.0705,35.3073
2018,26.1,2.8251,21.0705,35.3073
2018,26.2,2.8372,21.0705,35.3073
2018,26.3,2.8466,21.0705,35.3073
2018,26.4,2.8535,21.0705,35.3073
2018,26.5,2.8579,21.0705,35.3073
2018,26.6,2.86,21.0705,35.3073
2018,26.7,2.8599,21.0705,35.3073
2018,26.8,2.8577,21.0705,35.3073
2018,26.9,2.8535,21.0705,35.3073
2018,27.0,2.8474,21.0705,35.3073
2018,27.1,2.8396,21.0705,35.3073
2018,27.2,2.8302,21.0705,35.3073
2018,27.3,2.8192,21.0705,35.3073
2018,27.4,2.8069,21.0705,35.3073
2018,27.5,2.7932,21.0705,35.3073
2018,27.6,2.7784,21.0705,35.3073
2018,27.7,2.7624,21.0705,35.3073
2018,27.8,2.7454,21.0705,35.3073
2018,27.9,2.7273,21.0705,35.3073
2018,28.0,2.708,21.0705,35.3073
2018,28.1,2.6878,21.0705,35.3073
2018,28.2,2.6664,21.0705,35.3073
2018,28.3,2.644,21.0705,35.3073
2018,28.4,2.6206,21.0705,35.3073
2018,28.5,2.5962,21.0705,35.3073
2018,28.6,2.5707,21.0705,35.3073
2018,28.7,2.5443,21.0705,35.3073
2018,28.8,2.5168,21.0705,35.3073
2018,28.9,2.4884,21.0705,35.3073
2018,29.0,2.459,21.0705,35.3073
2018,29.1,2.4287,21.0705,35.3073
2018,29.2,2.3974,21.0705,35.3073
2018,29.3,2.3652,21.0705,35.3073
2018,29.4,2.3321,21.0705,35.3073
2018,29.5,2.2981,21.0705,35.3073
2018,29.6,2.2631,21.0705,35.3073
2018,29.7,2.2273,21.0705,35.3073
2018,29.8,2.1906,21.0705,35.3073
2018,29.9,2.1531,21.0705,35.3073
2018,30.0,2.1147,21.0705,35.3073
2018,30.1,2.0754,21.0705,35.3073
2018,30.2,2.0354,21.0705,35.3073
2018,30.3,1.9945,21.0705,35.3073
2018,30.4,1.9528,21.0705,35.3073
2018,30.5,1.9103,21.0705,35.3073
2018,30.6,1.8671,21.0705,35.3073
2018,30.7,1.8231,21.0705,35.3073
2018,30.8,1.7783,21.0705,35.3073
2018,30.9,1.7327,21.0705,35.3073
2018,31.0,1.6865,21.0705,35.3073
2018,31.1,1.6395,21.0705,35.3073
2018,31.2,1.5918,21.0705,35.3073
2018,31.3,1.5434,21.0705,35.3073
2018,31.4,1.4943,21.0705,35.3073
2018,31.5,1.4445,21.0705,35.3073
2018,31.6,1.3941,21.0705,35.3073
2018,31.7,1.343,21.0705,35.3073
2018,31.8,1.2912,21.0705,35.3073
2018,31.9,1.2389,21.0705,35.3073
2018,32.0,1.1859,21.0705,35.3073
2018,32.1,1.1323,21.0705,35.3073
2018,32.2,1.0781,21.0705,35.3073
2018,32.3,1.0233,21.0705,35.3073
2018,32.4,0.9679,21.0705,35.3073
2018,32.5,0.912,21.0705,35.3073
2018,32.6,0.8555,21.0705,35.3073
2018,32.7,0.7985,21.0705,35.3073
2018,32.8,0.741,21.0705,35.3073
2018,32.9,0.6829,21.0705,35.3073
2018,33.0,0.6244,21.0705,35.3073
2018,33.1,0.5653,21.0705,35.3073
2018,33.2,0.5058,21.0705,35.3073
2018,33.3,0.4457,21.0705,35.3073
2018,33.4,0.3853,21.0705,35.3073
2018,33.5,0.3244,21.0705,35.3073
2018,33.6,0.263,21.0705,35.3073
2018,33.7,0.2012,21.0705,35.3073
2018,33.8,0.139,21.0705,35.3073
2018,33.9,0.0764,21.0705,35.3073
2018,34.0,0.0134,21.0705,35.3073
2018,34.1,-0.05,21.0705,35.3073
2018,34.2,-0.1137,21.0705,35.3073
2018,34.3,-0.1778,21.0705,35.3073
2018,34.4,-0.2422,21.0705,35.3073
2018,34.5,-0.307,21.0705,35.3073
2018,34.6,-0.3721,21.0705,35.3073
2018,34.7,-0.4375,21.0705,35.3073
2018,34.8,-0.5032,21.0705,35.3073
2018,34.9,-0.5692,21.0705,35.3073
2018,35.0,-0.6355,21.0705,35.3073
2018,35.1,-0.702,21.0705,35.3073
2018,35.2,-0.7688,21.0705,35.3073
2018,35.3,-0.8359,21.0705,35.3073
2018,35.4,-0.8408,21.0705,35.3073
2018,35.5,-0.8408,21.0705,35.3073
2018,35.6,-0.8408,21.0705,35.3073
2018,35.7,-0.8408,21.0705,35.3073
2018,35.8,-0.8408,21.0705,35.3073
2018,35.9,-0.8408,21.0705,35.3073
2018,36.0,-0.8408,21.0705,35.3073
2019,21.0,-1.7494,21.2074,35.0034
2019,21.1,-1.7494,21.2074,35.0034
2019,21.2,-1.7494,21.2074,35.0034
2019,21.3,-1.6077,21.2074,35.0034
2019,21.4,-1.4553,21.2074,35.0034
2019,21.5,-1.3037,21.2074,35.0034
2019,21.6,-1.153,21.2074,35.0034
2019,21.7,-1.0035,21.2074,35.0034
2019,21.8,-0.8551,21.2074,35.0034
2019,21.9,-0.708,21.2074,35.0034
2019,22.0,-0.5623,21.2074,35.0034
2019,22.1,-0.4183,21.2074,35.0034
2019,22.2,-0.276,21.2074,35.0034
2019,22.3,-0.1355,21.2074,35.0034
2019,22.4,0.003,21.2074,35.0034
2019,22.5,0.1395,21.2074,35.0034
2019,22.6,0.2737,21.2074,35.0034
2019,22.7,0.4055,21.2074,35.0034
2019,22.8,0.5349,21.2074,35.0034
2019,22.9,0.6616,21.2074,35.0034
2019,23.0,0.7856,21.2074,35.0034
2019,23.1,0.9068,21.2074,35.0034
2019,23.2,1.0249,21.2074,35.0034
