team,season,lead,lead_name,n_pres,n_abs,inj_frac,bk_ante,bk_post,same_backup,bk_ante_name,bk_post_name,car_den,car_ante,car_post,car_rest,car_leak,tgt_den,tgt_ante,tgt_post,tgt_rest,tgt_leak,gl10_den,gl10_ante,gl10_post,gl10_rest,gl10_leak,ppg_bk_in,ppg_bk_out,g_bk_out,ppg_lead_in
NE,2021,00-0035657,Damien Harris,15,2,0.5,00-0036875,00-0036875,1,Rhamondre Stevenson,Rhamondre Stevenson,13.466666666666667,0.6039603960396039,0.6039603960396039,0.1905940594059406,-0.20544554455445538,1.4,1.5714285714285716,1.5714285714285716,-0.142857142857143,0.4285714285714283,2.0,0.7666666666666666,0.7666666666666666,0.016666666666666663,-0.21666666666666679,8.249999999999998,16.2,2,14.006666666666666
NE,2024,00-0036875,Rhamondre Stevenson,15,2,0.5,00-0036328,00-0036328,1,Antonio Gibson,Antonio Gibson,13.8,0.4468599033816425,0.4468599033816425,0.5072463768115941,-0.045893719806763246,2.7333333333333334,1.3658536585365855,1.3658536585365855,0.3048780487804878,0.6707317073170733,1.2,-0.2777777777777778,-0.2777777777777778,0.4166666666666667,-0.861111111111111,5.733333333333333,8.7,2,11.726666666666667
NO,2015,00-0027966,Mark Ingram,12,4,0.0,00-0030348,00-0026289,0,Khiry Robinson,Tim Hightower,13.833333333333334,-0.3373493975903615,1.4518072289156625,1.427710843373494,0.09036144578313253,5.0,-0.33333333333333337,0.65,1.0,-0.3333333333333336,,,,,,8.8125,,0,16.95
NO,2019,00-0033906,Alvin Kamara,14,2,0.5,00-0030513,00-0030513,1,Latavius Murray,Latavius Murray,12.214285714285714,1.391812865497076,1.391812865497076,0.13450292397660818,0.5263157894736844,6.928571428571429,1.041237113402062,1.041237113402062,0.14432989690721648,0.1855670103092782,1.0,3.5714285714285716,3.5714285714285716,0.0,2.571428571428571,6.321428571428571,34.35,2,17.751428571428573
NO,2021,00-0033906,Alvin Kamara,13,4,0.75,00-0035860,00-0027966,0,Tony Jones,Mark Ingram,18.46153846153846,0.115625,0.42500000000000004,0.44895833333333335,-0.4354166666666666,5.153846153846154,-0.11940298507462686,0.6902985074626865,0.7089552238805971,-0.4104477611940299,1.3846153846153846,-0.05555555555555556,0.5416666666666666,0.5416666666666666,-0.5138888888888888,2.7714285714285714,1.4500000000000002,2,18.053846153846152
NO,2022,00-0033906,Alvin Kamara,15,2,0.5,00-0027966,00-0027966,1,Mark Ingram,Mark Ingram,14.866666666666667,0.484304932735426,0.484304932735426,0.46860986547085204,-0.04708520179372192,5.133333333333334,0.3311688311688311,0.3311688311688311,0.21428571428571427,-0.45454545454545464,0.5333333333333333,0.4375,0.4375,0.9375,0.37499999999999994,5.071428571428571,6.699999999999999,2,14.113333333333333
NO,2023,00-0033906,Alvin Kamara,13,4,0.25,00-0033948,00-0033948,1,Jamaal Williams,Jamaal Williams,13.846153846153847,0.37916666666666665,0.37916666666666665,0.6527777777777778,0.031944444444444525,6.615384615384615,0.01453488372093025,0.01453488372093025,0.2732558139534884,-0.7122093023255814,1.8461538461538463,0.59375,0.59375,0.8125,0.40625,3.8299999999999996,7.5,3,17.923076923076923
NO,2024,00-0033906,Alvin Kamara,14,3,1.0,00-0033948,00-0033948,1,Jamaal Williams,Jamaal Williams,16.285714285714285,0.11257309941520467,0.11257309941520467,0.4298245614035088,-0.45760233918128657,6.357142857142857,0.0149812734082397,0.0149812734082397,0.8614232209737829,-0.12359550561797751,1.2142857142857142,0.4313725490196078,0.4313725490196078,-0.058823529411764705,-0.6274509803921567,3.111111111111111,2.466666666666667,3,18.95
NYG,2016,00-0027155,Rashad Jennings,13,3,0.0,00-0032417,00-0030860,0,Paul Perkins,Orleans Darkwa,13.923076923076923,-0.5009208103130756,0.6887661141804788,1.001841620626151,-0.4990791896869245,3.230769230769231,0.06349206349206354,0.2857142857142857,2.055555555555556,1.1190476190476188,,,,,,5.781818181818182,6.6,2,10.646153846153844
NYG,2019,00-0034844,Saquon Barkley,13,3,1.0,00-0031577,00-0035013,0,Javorius Allen,Jon Hilliman,16.692307692307693,-0.04147465437788018,0.5990783410138248,0.9615975422427034,-0.07987711213517658,5.615384615384615,-0.027397260273972605,0.23744292237442924,0.5844748858447489,-0.4429223744292236,1.2307692307692308,-0.0625,0.5416666666666666,0.9583333333333331,-0.10416666666666684,5.550000000000001,,0,18.776923076923076
